Country,Continent,Members,Population,Percent LDS,Temples,Missions,Districts,Stakes,Wards,Branches,Wards & Branches,FHC,Footnote
El Salvador,North America,"128,881","6,481,102",1.99,1,3,0,22,129,29,158,26,
Grenada,North America,438,"113,094",0.39,0,0,0,0,0,1,1,0,
Guadeloupe,North America,547,"376,879[10]",0.15,0,0,0,0,0,3,3,1,
Guatemala,North America,"281,465","17,153,288",1.64,2,7,12,51,300,138,438,66,
Haiti,North America,"24,192","11,067,777",0.22,1,1,4,5,27,21,48,11,
Honduras,North America,"180,646","9,235,340",1.96,1,4,5,31,179,60,239,32,
Jamaica,North America,"6,668","2,808,570",0.24,0,1,1,1,6,12,18,7,
Martinique,North America,252,"358,749[10]",0.07,0,0,0,0,0,1,1,1,
Mexico,North America,"1,481,530","128,649,565",1.15,13,32,47,222,"1,356",487,"1,843",278,
Nicaragua,North America,"100,331","6,203,441",1.62,0,2,4,12,73,39,112,14,
Panama,North America,"59,526","3,894,082",1.53,1,1,4,7,44,29,73,14,
Puerto Rico,North America,"23,395","3,189,068",0.73,0,1,0,5,27,12,39,8,
Saint Kitts and Nevis,North America,230,"53,821",0.43,0,0,0,0,0,1,1,1,
Saint Lucia,North America,395,"166,487",0.24,0,0,0,0,0,2,2,2,
Saint Vincent and the Grenadines,North America,716,"101,390",0.71,0,0,0,0,0,3,3,1,
Sint Maarten,North America,297,"43,847",0.68,0,0,0,0,0,1,1,0,
Trinidad and Tobago,North America,"3,524","1,208,789",0.29,0,1,0,1,5,4,9,1,
Turks and Caicos Islands,North America,147,"35,701",0.37,0,0,0,0,0,1,1,0,(c)
United States,North America,"6,721,032","332,639,102",2.02,81,108,5,"1,642","12,677","1,782","14,459","1,870",
Virgin Islands of the US,North America,589,"106,235",0.55,0,0,0,0,0,2,2,0,
American Samoa,Oceania,"16,490","49,437",33.36,0,0,0,5,38,5,43,5,
Australia,Oceania,"154,595","25,466,459",0.61,5,5,7,42,232,76,308,145,
Cook Islands,Oceania,"1,865","8,574",21.76,0,0,0,0,0,5,5,3,
Fiji,Oceania,"22,154","935,974",2.37,1,1,3,4,27,24,51,10,
French Polynesia,Oceania,"28,704","295,121",9.73,1,1,2,11,73,23,96,22,
Guam,Oceania,"2,550","168,485",1.51,0,1,0,1,4,1,5,1,
Kiribati,Oceania,"20,946","111,796",18.74,0,0,0,2,11,26,37,2,
Marshall Islands,Oceania,"6,976","77,917",8.95,0,1,0,2,12,1,13,3,
Federated States of Micronesia,Oceania,"6,307","102,436",6.16,0,0,0,1,5,19,24,11,
Nauru,Oceania,126,"11,000",1.15,0,0,0,0,0,1,1,0,
New Caledonia,Oceania,"2,500","290,009",0.86,0,0,0,1,6,3,9,3,
New Zealand,Oceania,"115,236","4,925,477",2.34,1,3,2,30,177,51,228,52,
Niue,Oceania,308,"2,000",15.4,0,0,0,0,0,2,2,1,
Northern Mariana Islands,Oceania,865,"51,433",1.68,0,0,0,0,1,0,1,1,
Palau,Oceania,509,"21,685",2.35,0,0,0,0,0,1,1,1,
Papua New Guinea,Oceania,"30,825","7,259,456",0.42,0,2,12,2,10,71,81,2,
Samoa,Oceania,"83,740","203,774",41.09,1,1,0,20,151,11,162,20,
Solomon Islands,Oceania,"1,332","685,097",0.19,0,0,0,0,0,5,5,0,
Tonga,Oceania,"66,361","106,095",62.55,1,1,2,21,139,34,173,21,
Tuvalu,Oceania,296,"11,342",2.61,0,0,0,0,0,1,1,0,
Vanuatu,Oceania,"10,210","298,333",3.42,0,1,3,1,5,32,37,2,
Argentina,South America,"470,843","45,479,118",1.04,2,13,27,78,484,250,734,123,
Bolivia,South America,"212,148","11,639,909",1.82,1,5,8,33,207,63,270,52,
Brazil,South America,"1,429,935","211,715,973",0.68,7,35,39,277,"1,747",395,"2,142",359,
Chile,South America,"602,373","18,186,770",3.31,2,10,16,74,410,158,568,100,
Colombia,South America,"209,985","49,084,841",0.43,2,5,10,30,176,73,249,51,
Ecuador,South America,"253,781","16,904,867",1.5,1,5,6,42,261,52,313,57,
French Guiana,South America,488,"290,691[10]",0.18,0,0,0,0,0,1,1,1,
Guyana,South America,"6,264","750,204",0.84,0,0,0,0,0,11,11,4,
Paraguay,South America,"96,114","7,191,685",1.34,1,2,9,11,61,73,134,19,
Peru,South America,"619,045","31,914,989",1.94,3,14,17,112,666,114,780,160,
Suriname,South America,"1,747","609,569",0.29,0,0,0,0,0,5,5,3,
Uruguay,South America,"107,103","3,387,605",3.16,1,2,2,18,100,34,134,23,
Venezuela,South America,"168,539","28,644,603",0.59,1,4,5,34,178,50,228,48,
